depth,correction_c
0,-0.04661206482543442
5,-0.043205618450458484
10,-0.007862086933309163
20,0.11064237374561293
30,0.2947887383200887
50,0.6188106728488229
75,0.7730898328789104
100,0.6531207964680666
125,0.4504056113823954
150,0.43666938611835243
200,0.5060278573569423
300,0.2750085811320894
500,0.10521555855170193
700,0.0018514239896042484
1000,0.009932305274435036
